CHARGE,CHARGE_TYPE_CLASSIFICATION
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
RECEIVING STOLEN PROPERTY,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
TRANSPORTING CONTROLLED SUBSTANCE INTO THE STATE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
"MAKING,ISSUING, WORTHLESS CHECKS",unknown
INTIMIDATION OF A WITNESS,misdemeanor
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
RECEIVING STOLEN PROPERTY,felony
AGGRAVATED DRIVING UNDER THE INFLUENCE,misdemeanor
SEXUAL ASSAULT IN THE THIRD DEGREE,felony
FAILURE TO REGISTER AS A SEX OFFENDER (LIFETIME),felony
SEXUAL ASSAULT IN THE THIRD DEGREE,felony
FAILURE TO UPDATE THE SEX OFFENDER REGISTRY FIRST OFFENSE - LIFETIME REGISTRATION REQUIRED,felony
SEXUAL ASSAULT IN THE THIRD DEGREE,felony
SEXUAL ASSAULT IN THE THIRD DEGREE,felony
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
PERSONS PROHIBITED FROM POSSESSING FIREARMS,misdemeanor
ILLEGAL BURNING,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
ILLEGAL BURNING,misdemeanor
PERSONS PROHIBITED POSSESSING FIREARMS,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
DEFEATING DRUG TEST,misdemeanor
TRUANCY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL,misdemeanor
SHOPLIFTING,misdemeanor
BATTERY,misdemeanor
"HUNTING, TRAPPING, OR FISHING ON LANDS OF ANOTHER",misdemeanor
SHOPLIFTING 3RD OFFENSE,felony
UNLAWFUL DISPOSAL OF LITER-MOTOR VEHICLE,misdemeanor
KILLED CLOSED SEASON,misdemeanor
GRAND LARCENY,felony
SHOPLIFTING 2ND OFFENSE,misdemeanor
SHOPLIFTING 2ND OFFENSE,misdemeanor
ILLEGAL POSSESSION OF WILDLIFE,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
BATTERY,misdemeanor
ADDITIONAL POWERS (REGULATORY VIOLATIONS),misdemeanor
"TAGGING, TRANSPORTING AND REPORTING BEAR, BOBCAT DEER, WILD BOAR AND WILD TURKEY",misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
TRUANCY,misdemeanor
DOMESTIC BATTERY,misdemeanor
CHILD ABUSE CREATING A SUBSTANTIAL RISK OF DEATH OR SERIOUS BODILY INJURY,felony
CHILD ABUSE WITH BODILY INJURY,felony
POSSESSION OF MARIJUANA,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER,misdemeanor
FOLLOWING TOO CLOSELY,misdemeanor
EXPIRED REGISTRATION,misdemeanor
UNLAWFUL TO OR DESTRUCTION OF PROPERTY,misdemeanor
FRAUDULENT USE OF CREDIT CARD,felony
PETIT LARCENY,misdemeanor
SPEEDING,misdemeanor
GRAND LARCENY,felony
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY - UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
NO INSURANCE,misdemeanor
FRAUDULENT USE OF CREDIT CARD,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
GRAND LARCENY,felony
DOMESTIC BATTERY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
PETIT LARCENY,misdemeanor
LIMITATIONS OVERTAKING ON LEFT,misdemeanor
LIMITATIONS OVERTAKING ON LEFT,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DRIVING ON ROADWAYS LANED FOR TRAFFIC- SINGLE LANE,misdemeanor
SHOPLIFTING LESS THAN $500,misdemeanor
PEDESTRIANS RIGHT OF WAY IN CROSSWALKS,misdemeanor
TEXTING WHILE DRIVING,misdemeanor
BATTERY,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
NIGHTIME BURGLARY,felony
CONSPIRACY TO COMMIT A FELONY,felony
DRIVING SUSPENDED,misdemeanor
EXPIRED MVI,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES; PENALTIES (THEFT OF SERVICES)",misdemeanor
GRAND LARCENY,felony
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
FELONY CONSPIRACY,felony
FELONY CONSPIRACY,felony
NO SEATBELT,misdemeanor
EMBEZZLEMENT,misdemeanor
NIGHTTIME BURGLARY,felony
"MAKING, ISSUING, WORTHLESS CHECKS",misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,felony
DRIVING SUSPENDED/REVOKED NON DRIVING UNDER THE INFLUENCE,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECKS",misdemeanor
EMBEZZLEMENT,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,felony
GRAND LARCENY,felony
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
IMPROPER REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
FUGITIVES FROM ANOTHER STATE,petty_offense
TRUANCY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
NO INSURANCE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
POSSESSION CONTROLLED SUBSTANCE. LESS THAN 15 GRAMS,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
DEFECTIVE EQUIPMENT,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
NO PROOF OF REGISTRATION,misdemeanor
POSSESSION CONTROLLED SUBSTANCE. LESS THAN 15 GRAMS,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
NO INSURANCE,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
ASSAULT ON A POLICE OFFICER,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
UNLAWFUL RESTAINT,misdemeanor
DOG NOT ON LEASH OR UNDER CONTROL,misdemeanor
DRIVING SUSPENDED/REVOKED NON DRIVING UNDER THE INFLUENCE,misdemeanor
LEFT OF CENTER,misdemeanor
RECKLESS DRIVING,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
EXPIRED OPERATORS,misdemeanor
SUSPENDED OL (LICENSE),misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
LEFT OF CENTER,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
PETIT LARCENY,misdemeanor
FIRST DEGREE ROBBERY OR ATTEMPTED ROBBERY,felony
DELIVERY OF HEROIN,felony
NO INSURANCE,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
SHOPLIFTING,misdemeanor
PETIT LARCENY,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
CONSPIRACY,misdemeanor
RECIEVING STOLEN GOODS,felony
DOMESTIC BATTERY,misdemeanor
UNLAWFUL ACTS BY PERSONS (FURNISHING MINOR),misdemeanor
TRUANCY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
OPERATION WITHOUT REGISTRATION,misdemeanor
OPERATION WITHOUT INSPECTION,misdemeanor
BATTERY - MAKING PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE/CAUSING PHYSICAL HARM TO ANOTHER,misdemeanor
DOMESTIC ASSAULT - COMMITTING VIOLENT INJURY OR CAUSING APPREHENSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DOMESTIC ASSAULT - COMMITTING VIOLENT INJURY OR CAUSING APPREHENSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DOMESTIC ASSAULT - UNLAWFUL USE OF FORCE CAPABLE OF CAUSING PAIN/INJURY TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
STARTING FIRE ON LANDS OF ANOTHER,felony
DOMESTIC ASSAULT - COMMITTING VIOLENT INJURY OR CAUSING APPREHENSION OF SAME,misdemeanor
"ASSAULT - ATTEMPTING TO COMMIT, OR PLACING ANOTHER IN APPREHENSION OF VIOLENT INJURY",misdemeanor
STARTING FIRE ON LANDS OF ANOTHER,felony
DOMESTIC BATTERY - UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY MEMBER,misdemeanor
SELLING UNDERAGE ALCOHOL,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL TO OR DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
EXPIRED REGISTRATION,misdemeanor
FRAUDULENT USE OF CREDIT CARD,felony
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
NO INSURANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
FRAUDULENT USE OF CREDIT CARD,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
GRAND LARCENY,felony
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DOMESTIC BATTERY,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO INSURANCE,misdemeanor
GRAND LARCENY,felony
PERMITTING UNAUTHORIZED PERSON TO DRIVE,misdemeanor
NO MOTOR VEHICLE INSPECTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
SHOPLIFTING,misdemeanor
VEHICLE INSURANCE REQUIRED,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
ALCOHOL ON RAIL TRAIL,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
SHOPLIFTING,misdemeanor
UNLAWFUL ACTS OF PERSONS NONINTOXICATED BEER 18-21,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
PETIT LARCENY,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
EMBEZZLEMENT,misdemeanor
NO SEATBELT,misdemeanor
SPEEDING,misdemeanor
LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND,misdemeanor
EMBEZZLEMENT,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
GRAND LARCENY,felony
LEAVING THE SCENE OF ACCIDENT,misdemeanor
PETIT LARCENY,misdemeanor
LEAVING THE SCENE OF ACCIDENT,misdemeanor
LEAVING THE SCENE OF ACCIDENT,misdemeanor
FRAUD IN CONNECTION WITH ACCESS DEVICE,felony
DAYTIME BURGLARY,felony
RECEIVING OR TRANSFERRING STOLEN VEHICLE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
GRAND LARCENY,felony
GRAND LARCENY,felony
POSSESSION WITH INTENT TO DELIVER,felony
UNLAWFUL TAKING OF VEHICLE,misdemeanor
FLEEING IN VEHICLE FROM LAW ENFORCEMENT,felony
CONSPIRACY,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
FLEEING FROM OFFICER,felony
ATTEMPTED BURGLARY,felony
BURGLARY,felony
CONSPIRACY,felony
PETIT LARCENY,misdemeanor
FALSE PRESTENSES,felony
SPEEDING SCHOOL ZONE,misdemeanor
FLEEING FROM OFFICER ON FOOT,misdemeanor
POSSESSION WITH THE INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
BURGLARY,felony
RECEIVING / TRANSFERRING STOLEN PROPERTY,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
SPEEDING,misdemeanor
FRAUDULENT APPLICATIONS,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
CONTROLLED SUBSTANCE,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
POSSESSION OF PRESCRIPTION MEDICATION,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
NO MVI,misdemeanor
DRIVING WHILE IMPAIRED  WITH AN ALCOHOL CONCENTRATION IN BLOOD LESS THAN .15,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DRIVING SUSPENDED,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DOMESTIC ASSAULT,misdemeanor
RECKLESS DRIVING,misdemeanor
DUI,misdemeanor
SHOPLIFTING,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
EXPIRED REGISTRATION,misdemeanor
CONSPIRACY,misdemeanor
UNLAWFUL INJURY TO/ DESTRUCTION OF PROPERTY,misdemeanor
UNSAFE/ IMPROPERLY EQUIPPED VEHICLES,misdemeanor
CONSPIRACY,misdemeanor
UNLAWFUL INJURY TO/ DESTRUCTION OF PROPERTY,misdemeanor
INTOXICATION OR DRINKING IN PUBLIC PLACES,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
FRAUDULENT USE OF ACCESS DEVICE,felony
FRAUDULENT USE OF ACCESS DEVICE,felony
FRAUDULENT USE OF ACCESS DEVICE,felony
TAKING ID OF ANOTHER PERSON,felony
FRAUDULENT SCHEMES,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
CONSPIRACY TO COMMIT MANUFACTURE OF A CONTROLLED SUBSTANCE,felony
FRAUDULENT SCHEMES,felony
FUGITIVE FROM JUSTICE,felony
PUBLIC INTOXICATION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
NO OPERATORS,misdemeanor
IMPROPER USE OF EVIDENCE OF REGISTRATION,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SHOPLIFTING LESS THAN $500,misdemeanor
NO SEAT BELT,misdemeanor
NO REGISTRATION,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
NO PROOF OF REGISTRATION,misdemeanor
NO CERTIFICATE OF INSURANCE,misdemeanor
NO OPERATORS CARRIED,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING UNDER THE INFLUENCE WITH ALCOHOL CONCENTRATION IN BLOOD >=.15,misdemeanor
OPERATING A MOTOR VEHICLE NOT EQUIPPED WITH AN APPROVED MOTOR VEHICLE TEST AND LOCK SYSTEM,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
"ATTEMPT TO COMMIT AN OFFENSE, BUT FAILING TO COMMIT OR PREVENTED FROM COMMITTING",felony
BATTERY ON A GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DRIVING UNDER THE INFLUENCE WITH UNEMANCIPATED MINOR UNDER 16,misdemeanor
BATTERY ON A GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
DRIVING UNDER THE INFLUENCE - 2ND OFFENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/ REVOKED NON- DRIVING UNDER THE INFLUENCE,misdemeanor
IMPROPER USE OF EVIDENCE OF REGISTRATION,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
NO INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED,misdemeanor
TRUANCY,misdemeanor
DISORDERLY CONDUCT,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING; ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION OR MOTORCAR,STEAMBOAT OR VESSEL",misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
BURGLARY,felony
PETIT LARCENY,misdemeanor
DAYTIME BURGLARY,felony
BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
TAMPERING WITH VEHICLE,misdemeanor
PETIT LARCENY,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
CONTRABAND INTO CORRECTIONAL FACILITY,felony
GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
CONSPIRACY; CONSTRUCTION OF SECTION; PENALTIES,felony
ABDUCTION OF PERSON; KIDNAPPING OR CONCEALING CHILD; PENALTIES,felony
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
PETIT LARCENY,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
OBSTRUCTING,misdemeanor
PURCHASE OF PSEUDOPHEDRINE,felony
NIGHTTIME BURGLARY,felony
CARRYING DANGEROUS WEAPON,misdemeanor
"BURGLARY IN THE NIGHTTIME, BREAK AND ENTER, OR ENTER WITHOUT BREAKING",felony
RECEIVING/TRANSFERRING STOLEN PROPERTY,misdemeanor
"BURNING PERSONAL PROPERTY OF ANOTHER, 3RD DEGREE ARSON",felony
FOREST FIRE SEASONS; PERMITS FOR FIRES; PROHIBITED FIRES; CLOSURE OF FORESTS,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
SPEEDING,misdemeanor
VIOLATION OF UNIFORM CONTROLLED SUBSTANCE ACT,felony
DRIVING UNDER THE INFLUENCE,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
FAIL TO CHANGE LICENSE,misdemeanor
NO REGISTRATION,misdemeanor
3. CONSPIRACY TO DELIVER A CONTROLLED SUBSTANCE TO AN ADULT IN CUSTODY,felony
TRUANCY,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
SHOPLIFTING LESS THAN $500 SECOND OFFENSE,misdemeanor
MAKING AND ISSUING WORTHLESS CHECKS,misdemeanor
SHOPLIFTING,felony
FUGITIVE FROM JUSTICE,petty_offense
SHOPLIFTING THIRD OFFENSE,felony
ATTEMPT TO DEFEAT A DRUG OR ALCOHOL SCREENING TEST,misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING SECOND OFFENSE,misdemeanor
SHOPLIFTING THIRD OFFENSE,felony
FUGITIVE FROM JUSTICE,petty_offense
SHOPLIFTING SECOND OFFENSE,misdemeanor
SHOPLIFTING SECOND OFFENSE,misdemeanor
PETIT LARCENY,misdemeanor
SHOPLIFTING THIRD OFFENSE,felony
DOMESTIC BATTERY,misdemeanor
DISORDERLY CONDUCT,misdemeanor
IMPEDING TRAFFIC,misdemeanor
NO PERSON MAY DRIVE ANY MOTOR VEHICLE UPON A STREET WITHOUT A VALID DRIVERS LICENSE,misdemeanor
TRUANCY,misdemeanor
UNDERAGE CONSUMPTION,petty_offense
IMPROPER INSPECTION,misdemeanor
PUBLIC INTOXICATION,petty_offense
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
FAILURE TO YIELD,misdemeanor
SEAT BELT VIOLATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
USE OR POSSESSION OF TOBACCO BY PERSONS UNDER EIGHTEEN YEARS,petty_offense
UNDERAGE CONSUMPTION,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DRIVING A VEHICLE WHILE IN AN IMPAIRED STATE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED /REVOKED,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
NO SEATBELT,misdemeanor
DOMESTIC BATTERY - UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
NO SEATBELT,misdemeanor
TRESPASSING,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
SHOOTING NEAR ROADWAY,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
TRESPASSING,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
STALKING,misdemeanor
EXPIRED MVI,misdemeanor
DOMESTIC ASSAULT,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
NO SEATBELT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DOMESTIC ASSAULT,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
DISORDERLY CONDUCT,misdemeanor
INTOXICATION OR DRINKING IN PUBLIC PLACES,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
BATTERY ON A GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES (THEFT OF SERVICES)",misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DOMESTIC BATTERY,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
BATTERY UPON ANOTHER BY MAKING PHYSICAL CONTACT WITH FORCE CAPABLE OF CAUSING PAIN OR INJURY,misdemeanor
ASSAULT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
NO INSURANCE,misdemeanor
FORGERY AND UTTERING,felony
DESTRUCTION OF PROPERTY,misdemeanor
